City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Lompoc,US,34.6391,-120.4579,65.57,74,75,10.36,broken clouds
132,Hofn,IS,64.2539,-15.2082,50.02,93,75,4.61,mist
133,Tautira,PF,-17.7333,-149.15,75.22,76,46,4.16,scattered clouds
134,Lavrentiya,RU,65.5833,-171.0,34.5,97,100,19.75,light rain
135,Bilina,CZ,50.5485,13.7754,55.24,64,0,5.97,clear sky
136,Sheridan,US,44.8333,-106.9173,64.31,42,72,1.01,broken clouds
137,Kurush,RU,41.2841,47.8345,26.49,97,88,2.24,overcast clouds
138,Raudeberg,NO,61.9875,5.1352,59.2,93,100,1.99,overcast clouds
139,Chuy,UY,-33.6971,-53.4616,58.93,50,16,10.36,few clouds
140,Poum,NC,-20.2333,164.0167,71.92,74,60,12.55,broken clouds
141,Naifaru,MV,5.4444,73.3657,82.45,82,16,14.85,few clouds
142,Little Baguio,PH,7.8939,125.2764,64.27,94,100,2.42,overcast clouds
143,Belyy Yar,RU,53.6039,91.3903,40.89,70,0,11.18,clear sky
144,Brae,GB,60.3964,-1.353,53.51,97,98,8.93,overcast clouds
145,Bethel,US,41.3712,-73.414,75.47,75,68,1.01,broken clouds
146,Lebu,CL,-37.6167,-73.65,57.87,67,51,10.47,broken clouds
147,Clyde River,CA,70.4692,-68.5914,28.63,100,40,0.0,fog
148,Hollola,FI,61.05,25.4333,51.03,89,100,9.93,light rain
149,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.73,63,91,9.22,overcast clouds
150,Dwarka,IN,22.2394,68.9678,83.59,78,5,8.05,clear sky
151,Kathu,TH,7.9178,98.3332,81.7,99,100,20.13,overcast clouds
152,Agirish,RU,61.9247,63.0231,42.94,86,100,14.34,light rain
153,Talnakh,RU,69.4865,88.3972,27.9,97,100,4.5,overcast clouds
154,Bennettsville,US,34.6174,-79.6848,72.32,90,90,0.0,overcast clouds
155,Manjakandriana,MG,-18.9167,47.8,55.09,95,67,8.93,broken clouds
156,Burnie,AU,-41.0667,145.9167,52.95,86,84,4.07,broken clouds
157,Podor,MR,16.6527,-14.9587,103.95,33,0,2.3,clear sky
158,Okhotsk,RU,59.3833,143.3,25.88,84,20,9.37,few clouds
159,Iqaluit,CA,63.7506,-68.5145,29.93,100,90,4.0,fog
160,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,73,20,7.87,few clouds
161,Hue,VN,16.4667,107.6,77.11,94,75,4.61,broken clouds
162,Cienfuegos,CU,22.1461,-80.4356,89.06,55,62,5.55,broken clouds
163,Bredasdorp,ZA,-34.5322,20.0403,67.32,52,91,17.27,overcast clouds
164,Souris,CA,49.6172,-100.2612,55.74,45,75,8.37,broken clouds
165,Anuchino,RU,43.9622,133.0544,44.44,78,20,3.74,few clouds
166,Tasiilaq,GL,65.6145,-37.6368,35.76,50,81,11.01,broken clouds
167,Dzaoudzi,YT,-12.7887,45.2699,76.89,73,0,4.61,clear sky
168,Dawson Creek,CA,55.7666,-120.2362,39.16,60,20,6.91,few clouds
169,Takoradi,GH,4.8845,-1.7554,80.58,81,99,9.86,light rain
170,Chalons-En-Champagne,FR,48.9539,4.3672,64.98,76,2,7.78,clear sky
171,Hay River,CA,60.8156,-115.7999,33.78,80,75,5.75,broken clouds
172,Akyab,MM,20.15,92.9,82.35,81,88,3.89,overcast clouds
173,Parvatipuram,IN,18.7833,83.4333,77.94,88,8,1.39,clear sky
174,Tharad,IN,24.3961,71.6267,86.43,53,2,6.51,clear sky
175,Tecpan,GT,14.7623,-90.9947,68.76,55,100,6.29,overcast clouds
176,Hasaki,JP,35.7333,140.8333,68.4,87,12,8.34,few clouds
177,Okha,RU,53.5739,142.9478,39.72,72,22,13.18,few clouds
178,Sheltozero,RU,61.3667,35.3667,48.61,82,100,12.33,overcast clouds
179,Baruun-Urt,MN,46.6806,113.2792,51.44,59,100,7.02,overcast clouds
180,Saint George,US,37.1041,-113.5841,59.95,84,90,10.0,moderate rain
181,Xining,CN,36.6167,101.7667,50.36,77,55,7.7,broken clouds
182,San Isidro,PE,-12.1167,-77.05,63.5,78,90,1.01,overcast clouds
183,Cabo San Lucas,MX,22.8909,-109.9124,92.52,56,2,3.24,clear sky
184,Tieli,CN,46.95,128.05,43.75,62,31,4.61,scattered clouds
185,Victoria,HK,22.2855,114.1577,82.38,93,100,11.01,moderate rain
186,Lagos,NG,6.5833,3.75,88.12,80,72,5.5,broken clouds
187,Klyuchi,RU,52.2667,79.1667,40.96,79,10,8.59,clear sky
188,Mahebourg,MU,-20.4081,57.7,69.26,76,8,10.58,light rain
189,Pahrump,US,36.2083,-115.9839,66.31,53,100,5.01,overcast clouds
190,Kidal,ML,18.4411,1.4078,97.63,8,1,12.33,clear sky
191,Benghazi,LY,32.1167,20.0667,77.54,52,0,5.59,clear sky
192,Diglur,IN,18.55,77.6,78.51,83,75,2.37,broken clouds
193,Rocha,UY,-34.4833,-54.3333,58.69,48,0,10.22,clear sky
194,Qandala,SO,11.472,49.8728,84.29,77,91,5.17,overcast clouds
195,Youghal,IE,51.95,-7.8506,60.01,100,100,11.32,overcast clouds
196,Provideniya,RU,64.3833,-173.3,33.6,91,100,14.52,overcast clouds
197,Port-Gentil,GA,-0.7193,8.7815,78.76,94,90,9.22,overcast clouds
198,Porto Velho,BR,-8.7619,-63.9039,84.25,70,20,5.75,few clouds
199,Dicabisagan,PH,17.0818,122.4157,78.21,88,85,5.95,overcast clouds
200,Walvis Bay,NA,-22.9575,14.5053,61.75,67,0,19.57,clear sky
201,Khatanga,RU,71.9667,102.5,23.47,98,100,1.59,light snow
202,Haines Junction,CA,60.7522,-137.5108,26.55,100,100,2.3,light snow
203,Longyearbyen,SJ,78.2186,15.6401,17.44,79,20,11.5,few clouds
204,Faya,SA,18.3851,42.4509,67.53,52,98,9.42,overcast clouds
205,Channel-Port Aux Basques,CA,47.5702,-59.1367,50.22,62,21,27.38,few clouds
206,Lubango,AO,-14.9172,13.4925,78.66,24,75,0.0,broken clouds
207,San Cristobal,VE,7.7669,-72.225,78.98,59,84,7.0,broken clouds
208,Guadalupe Y Calvo,MX,26.1,-106.9667,72.01,29,0,3.4,clear sky
209,Nioro,GM,13.35,-15.75,92.61,54,85,4.09,overcast clouds
210,Ponta Do Sol,PT,32.6667,-17.1,78.01,73,74,2.04,broken clouds
211,Nossa Senhora Da Gloria,BR,-10.2183,-37.4203,92.77,29,77,18.5,broken clouds
212,Van,TR,38.4924,43.3831,54.16,38,0,1.43,clear sky
213,Chernyshevskiy,RU,63.0128,112.4714,32.07,87,100,9.82,overcast clouds
214,Narsaq,GL,60.9167,-46.05,48.42,40,73,3.0,broken clouds
215,Severo-Kurilsk,RU,50.6789,156.125,43.86,85,98,5.64,light rain
216,Manadhoo,MV,5.7667,73.3833,82.13,82,25,13.82,scattered clouds
217,Novoagansk,RU,61.9449,76.6625,43.38,74,100,18.92,overcast clouds
218,Carutapera,BR,-1.195,-46.02,89.47,54,90,8.84,overcast clouds
219,Aloleng,PH,16.1307,119.7824,78.51,88,100,10.74,overcast clouds
220,Paujiles,HN,15.1,-87.35,72.59,61,100,1.34,overcast clouds
221,Upernavik,GL,72.7868,-56.1549,26.65,51,100,4.38,overcast clouds
222,Mamlyutka,KZ,54.9375,68.5394,42.8,50,4,10.87,clear sky
223,Mangrol,IN,21.1167,70.1167,84.15,76,100,3.04,overcast clouds
224,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,16.11,broken clouds
225,Grand-Lahou,CI,5.1367,-5.0242,80.74,79,99,7.63,overcast clouds
226,Cayenne,GF,4.9333,-52.3333,89.64,76,0,5.01,clear sky
227,Murray Bridge,AU,-35.1167,139.2667,56.68,37,100,6.55,overcast clouds
228,Srednekolymsk,RU,67.45,153.6833,7.81,92,34,2.8,scattered clouds
229,Ocotepec,MX,17.2167,-93.15,65.3,84,100,3.89,overcast clouds
230,Rudbar,AF,30.15,62.6,71.71,19,0,11.72,clear sky
231,Iquitos,PE,-3.7481,-73.2472,91.44,58,75,4.61,broken clouds
232,Luderitz,NA,-26.6481,15.1594,60.8,64,0,13.96,clear sky
233,Jurm,AF,36.8648,70.8342,51.28,48,0,0.45,clear sky
234,Pierre,US,44.3683,-100.351,73.06,71,78,3.0,broken clouds
235,Sioux Lookout,CA,50.1001,-91.917,66.27,68,75,5.75,broken clouds
236,Pontes E Lacerda,BR,-15.2261,-59.3353,99.91,29,34,8.1,scattered clouds
237,Cabedelo,BR,-6.9811,-34.8339,86.67,67,99,12.21,overcast clouds
238,Carnarvon,AU,-24.8667,113.6333,64.47,77,40,24.16,scattered clouds
239,Ambon,ID,-3.6954,128.1814,79.61,84,82,8.68,broken clouds
240,Klaksvik,FO,62.2266,-6.589,52.72,95,22,17.38,few clouds
241,Tromso,NO,69.6496,18.957,37.42,75,0,2.3,clear sky
242,Sobolevo,RU,54.4299,31.8996,40.75,69,0,4.16,clear sky
243,Vanimo,PG,-2.6741,141.3028,79.9,89,84,7.49,broken clouds
244,Xinmin,CN,41.9908,122.8253,61.11,75,100,5.19,overcast clouds
245,Ornskoldsvik,SE,63.2909,18.7153,49.82,100,72,4.61,mist
246,Olinda,BR,-8.0089,-34.8553,83.93,70,40,12.66,scattered clouds
247,Ahipara,NZ,-35.1667,173.1667,57.54,95,100,8.14,overcast clouds
248,Zacapoaxtla,MX,19.8833,-97.5833,65.79,55,94,6.85,overcast clouds
249,Marzuq,YE,14.4,46.4667,75.02,63,99,1.36,overcast clouds
250,Eufaula,US,31.8913,-85.1455,82.83,71,40,5.75,scattered clouds
251,North Myrtle Beach,US,33.816,-78.68,80.11,83,99,4.0,overcast clouds
252,Clinton,US,42.587,-82.9199,71.96,94,90,1.01,light rain
253,Aykhal,RU,66.0,111.5,30.76,90,98,21.3,overcast clouds
254,Mayo,US,38.8876,-76.5119,79.25,62,37,1.99,scattered clouds
255,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,18,0,19.57,clear sky
256,Vostok,RU,46.4856,135.8833,34.03,75,1,4.72,clear sky
257,Maryville,US,35.7565,-83.9705,76.26,89,90,4.61,overcast clouds
258,Duiwelskloof,ZA,-23.6934,30.14,75.58,51,70,1.14,broken clouds
259,Vardo,NO,70.3705,31.1107,35.58,87,75,3.44,broken clouds
260,Yelets,RU,52.6237,38.5017,43.12,55,2,5.97,clear sky
261,Aripuana,BR,-9.1667,-60.6333,95.32,41,76,3.11,broken clouds
262,Gannan,CN,47.9147,123.5031,49.17,67,100,10.98,overcast clouds
263,Camacha,PT,33.0833,-16.3333,72.82,64,40,13.8,scattered clouds
264,Sola,VU,-13.8833,167.55,79.86,81,54,17.65,broken clouds
265,Ust-Omchug,RU,61.15,149.6333,3.56,96,57,1.45,broken clouds
266,Mana,GF,5.6592,-53.7767,88.14,62,73,11.77,broken clouds
267,Port Hardy,CA,50.6996,-127.4199,47.55,87,99,12.91,overcast clouds
268,Kodiak,US,57.79,-152.4072,44.04,77,81,14.41,broken clouds
269,Porto Belo,BR,-27.1578,-48.5531,66.79,81,100,2.93,overcast clouds
270,Christchurch,NZ,-43.5333,172.6333,51.94,62,53,5.75,broken clouds
271,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,3.44,scattered clouds
272,Kampong Cham,KH,11.9934,105.4635,75.0,91,100,5.82,moderate rain
273,Kavaratti,IN,10.5669,72.642,82.24,80,61,15.01,broken clouds
274,Mehamn,NO,71.0357,27.8492,37.58,72,100,5.01,overcast clouds
275,Ucluelet,CA,48.9329,-125.5528,51.1,77,100,7.67,overcast clouds
276,Yatou,CN,37.15,122.3833,65.82,89,100,6.69,light rain
277,Birin,NP,26.8865,88.0718,62.53,91,54,2.35,broken clouds
278,Burns Lake,CA,54.2331,-125.7533,31.42,79,59,3.0,broken clouds
279,Nome,US,64.5011,-165.4064,37.47,81,90,20.71,light rain
280,Beyneu,KZ,45.3167,55.2,48.43,23,49,8.84,scattered clouds
281,Thompson,CA,55.7435,-97.8558,46.94,48,99,2.68,overcast clouds
