City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Fortuna,US,2021-10-05 17:33:28,40.5982,-124.1573,57.65,100,1,4.61
98,Chuy,UY,2021-10-05 17:33:29,-33.6971,-53.4616,65.88,48,0,6.17
99,Carnarvon,AU,2021-10-05 17:33:29,-24.8667,113.6333,62.67,72,40,16.11
100,Punta Arenas,CL,2021-10-05 17:33:29,-53.15,-70.9167,48.31,46,20,23.02
101,Pevek,RU,2021-10-05 17:33:30,69.7008,170.3133,28.11,94,100,21.16
102,Hilo,US,2021-10-05 17:32:08,19.7297,-155.09,74.8,88,75,3.44
103,Katsuura,JP,2021-10-05 17:33:30,35.1333,140.3,76.19,80,58,17.0
104,Shakiso,ET,2021-10-05 17:33:30,5.75,38.9167,61.88,93,98,0.63
105,Geraldton,AU,2021-10-05 17:33:31,-28.7667,114.6,50.41,81,70,5.75
106,Naze,JP,2021-10-05 17:33:31,28.3667,129.4833,77.22,75,78,17.05
107,Mbini,GQ,2021-10-05 17:33:31,1.574,9.6134,78.42,87,99,7.02
108,Bluff,NZ,2021-10-05 17:33:32,-46.6,168.3333,48.79,96,99,5.97
109,Broken Hill,AU,2021-10-05 17:33:32,-31.95,141.4333,47.91,29,0,5.75
110,Ardee,IE,2021-10-05 17:33:32,53.8597,-6.5406,56.12,73,0,13.24
111,Noshiro,JP,2021-10-05 17:33:33,40.2039,140.0242,61.18,87,100,10.8
112,Ayorou,NE,2021-10-05 17:33:33,14.7308,0.9174,100.83,17,20,7.83
113,Quatre Cocos,MU,2021-10-05 17:33:33,-20.2078,57.7625,73.09,82,25,5.95
114,Westerland,DE,2021-10-05 17:33:33,54.9079,8.3033,53.92,87,20,13.8
115,Ancud,CL,2021-10-05 17:33:34,-41.8697,-73.8203,51.33,42,6,4.94
116,Kavieng,PG,2021-10-05 17:33:34,-2.5744,150.7967,80.38,81,90,9.1
117,Togur,RU,2021-10-05 17:33:34,58.3631,82.8265,27.88,88,8,4.9
118,Kachiry,KZ,2021-10-05 17:33:35,53.0675,76.1036,33.26,98,100,17.98
119,East London,ZA,2021-10-05 17:33:35,-33.0153,27.9116,59.94,88,20,4.61
120,Umm Lajj,SA,2021-10-05 17:33:36,25.0213,37.2685,82.17,64,0,9.26
121,Nanortalik,GL,2021-10-05 17:33:36,60.1432,-45.2371,39.87,73,2,5.55
122,Bredasdorp,ZA,2021-10-05 17:33:36,-34.5322,20.0403,60.28,77,1,12.66
123,Nelson Bay,AU,2021-10-05 17:33:37,-32.7167,152.15,56.08,61,2,15.08
124,Sechura,PE,2021-10-05 17:33:37,-5.5569,-80.8222,77.43,56,64,11.65
125,Itupiranga,BR,2021-10-05 17:33:37,-5.1347,-49.3267,93.52,48,82,4.27
126,Asuncion,PY,2021-10-05 17:31:01,-25.3007,-57.6359,80.04,50,0,4.61
127,Sao Gabriel Da Cachoeira,BR,2021-10-05 17:33:38,-0.1303,-67.0892,89.4,66,40,3.44
128,Punakha,BT,2021-10-05 17:33:38,27.5837,89.8598,66.69,92,35,1.57
129,Great Bend,US,2021-10-05 17:33:38,38.3645,-98.7648,78.89,46,1,0.0
130,Pitimbu,BR,2021-10-05 17:33:39,-7.4706,-34.8086,86.59,70,66,12.3
131,Timberlake,US,2021-10-05 17:33:39,37.3207,-79.2575,81.0,72,75,1.01
132,Moerai,PF,2021-10-05 17:33:39,-22.4333,-151.3333,73.6,76,22,13.44
133,Lasa,IT,2021-10-05 17:33:39,46.6166,10.7002,56.28,95,91,5.03
134,Kruisfontein,ZA,2021-10-05 17:33:40,-34.0033,24.7314,56.53,86,15,10.0
135,Sunland Park,US,2021-10-05 17:33:08,31.7965,-106.58,81.93,32,1,1.99
136,New Norfolk,AU,2021-10-05 17:33:40,-42.7826,147.0587,51.3,56,100,3.0
137,Kalas,IN,2021-10-05 17:33:40,18.1667,74.8,79.92,74,98,7.99
138,Wanxian,CN,2021-10-05 17:33:41,30.8039,108.3897,79.14,71,7,4.97
139,Thinadhoo,MV,2021-10-05 17:33:41,0.5333,72.9333,84.29,74,97,16.26
140,Charlottesville,US,2021-10-05 17:29:26,38.0293,-78.4767,83.59,68,20,1.99
141,Saint Anthony,US,2021-10-05 17:30:35,45.0205,-93.218,73.71,69,75,1.01
142,Mansoa,GW,2021-10-05 17:33:42,12.0733,-15.3189,88.0,72,87,0.69
143,Gouyave,GD,2021-10-05 17:33:42,12.1646,-61.7296,88.57,66,40,18.41
144,Ixtapa,MX,2021-10-05 17:33:42,20.7,-105.2,88.23,66,75,6.91
145,Ambanja,MG,2021-10-05 17:33:43,-13.6833,48.45,73.45,87,23,0.51
146,Ilulissat,GL,2021-10-05 17:33:43,69.2167,-51.1,33.82,37,20,18.41
147,Baruun-Urt,MN,2021-10-05 17:33:43,46.6806,113.2792,40.82,38,96,4.76
148,Atar,MR,2021-10-05 17:33:43,20.5169,-13.0499,100.27,11,0,10.54
149,Ponta Do Sol,PT,2021-10-05 17:33:44,32.6667,-17.1,74.71,67,98,4.07
150,Ambon,ID,2021-10-05 17:33:44,-3.6954,128.1814,75.34,94,20,6.91
151,Curuca,BR,2021-10-05 17:33:44,-0.7289,-47.8481,89.51,49,89,10.96
152,Riyadh,SA,2021-10-05 17:33:32,24.6877,46.7219,91.54,22,44,11.77
153,Presidente Medici,BR,2021-10-05 17:33:45,-11.1753,-61.9014,89.4,52,99,3.29
154,Thompson,CA,2021-10-05 17:33:45,55.7435,-97.8558,50.16,46,75,5.75
155,Tokur,RU,2021-10-05 17:33:45,53.1333,132.9,23.81,88,100,2.57
156,Santa Rosa,PH,2021-10-05 17:33:46,14.3122,121.1114,80.58,87,100,4.21
157,Mayumba,GA,2021-10-05 17:33:46,-3.432,10.6554,76.3,84,98,8.81
158,Brainerd,US,2021-10-05 17:30:04,46.358,-94.2008,71.85,60,1,8.05
159,Los Llanos De Aridane,ES,2021-10-05 17:33:47,28.6585,-17.9182,71.35,67,75,13.8
160,Businga,CD,2021-10-05 17:33:47,3.3333,20.8833,69.33,92,92,1.28
161,Dingle,PH,2021-10-05 17:33:47,10.9995,122.6711,74.16,97,100,3.33
162,Zhigalovo,RU,2021-10-05 17:33:48,54.8097,105.1578,35.65,73,100,1.81
163,Hualmay,PE,2021-10-05 17:33:48,-11.0964,-77.6139,67.15,73,98,10.36
164,College,US,2021-10-05 17:33:48,64.8569,-147.8028,31.89,92,75,0.0
165,Trairi,BR,2021-10-05 17:31:06,-3.2778,-39.2689,86.27,60,73,16.96
166,Egvekinot,RU,2021-10-05 17:33:49,66.3167,-179.1667,28.38,93,100,11.05
167,Tasiilaq,GL,2021-10-05 17:33:49,65.6145,-37.6368,39.36,88,76,3.18
168,Urucara,BR,2021-10-05 17:33:50,-2.5364,-57.76,99.32,26,75,6.46
169,Fort Nelson,CA,2021-10-05 17:30:36,58.8053,-122.7002,31.59,93,75,0.0
170,Nenjiang,CN,2021-10-05 17:33:50,49.1833,125.2167,38.57,80,5,5.97
171,Conceicao Do Araguaia,BR,2021-10-05 17:33:51,-8.2578,-49.2647,99.32,28,82,6.24
172,Esna,EG,2021-10-05 17:33:51,25.2934,32.554,82.42,25,0,13.06
173,Felanitx,ES,2021-10-05 17:33:51,39.4696,3.1483,72.12,54,26,8.19
174,Henties Bay,NA,2021-10-05 17:33:51,-22.116,14.2845,56.86,86,3,6.51
175,Lompoc,US,2021-10-05 17:33:52,34.6391,-120.4579,78.01,65,1,4.61
176,Lebu,CL,2021-10-05 17:33:52,-37.6167,-73.65,53.74,73,18,20.42
177,Vallenar,CL,2021-10-05 17:33:52,-28.5708,-70.7581,78.55,24,15,9.93
178,Port Hardy,CA,2021-10-05 17:33:53,50.6996,-127.4199,48.2,93,90,6.91
179,Sao Filipe,CV,2021-10-05 17:33:53,14.8961,-24.4956,81.3,73,1,9.69
180,Khovu-Aksy,RU,2021-10-05 17:33:53,51.1333,93.6,30.76,60,59,4.12
181,Placido De Castro,BR,2021-10-05 17:33:54,-10.3353,-67.1856,77.34,93,100,1.63
